"x"	"sin.1.x."
1e-10	-0.48750602507627
3.37331193734373e-10	-0.010837912456832
7.99399849987519e-10	-0.15705019970566
1.5610934687782e-09	-0.990342810912601
2.69729955012519e-09	0.840805899922075
4.28290559404724e-09	-0.311654063033868
6.39279910056312e-09	0.891990467259504
9.10186756969159e-09	-0.514403251345933
1.24849985014514e-08	0.96643100425881
1.66170793958614e-08	-0.98013399308279
2.15729977529402e-08	0.331075716951395
2.74276410727067e-08	-0.967512274001751
3.42558968551796e-08	-0.996011427924447
4.21326526003777e-08	-0.828031109953623
5.11327958083197e-08	0.00633593043040926
6.13312139790244e-08	0.98238237847166
7.28027946125107e-08	0.794548817048518
8.5622425208797e-08	-0.999273745565831
9.98649932679025e-08	0.215721574528735
1.15605386289846e-07	-0.9791865321972
1.32918491774645e-07	-0.118939023263209
1.5187919722232e-07	-0.900106864567041
1.7256239013289e-07	-0.991594771053889
1.95042958006371e-07	0.41017582029224
2.19395788342785e-07	-0.703989619834608
2.45695768642149e-07	0.471529096630779
2.74017786404482e-07	-0.999788536120527
3.04436729129802e-07	-0.252061922226222
3.3702748431813e-07	0.81785149272856
3.71864939469483e-07	0.99886732427473
4.0902398208388e-07	0.450845399142477
4.4857949966134e-07	-0.726523441571943
4.90606379701881e-07	-0.324293748274158
5.35179509705523e-07	0.548183597555457
5.82373777172285e-07	-0.53056089443476
6.32264069602184e-07	0.996093538721988
6.8492527449524e-07	0.872377250939203
7.40432279351472e-07	-0.911977959147355
7.98859971670898e-07	-0.510277980314114
8.60283238953536e-07	-0.266705227707387
9.24776968699407e-07	-0.617709391684548
9.92416048408528e-07	0.930783379404557
1.06327536558092e-06	-0.827413516858561
1.1374298077166e-06	0.413882446393885
1.21495426231558e-06	-0.823431419262887
1.29592361687789e-06	-0.136031484516705
1.38041275890355e-06	0.91534780540941
1.46849657589257e-06	-0.0788376050672936
1.56024995534497e-06	0.340000206382639
1.65574778476077e-06	-0.945643251002515
1.75506495163999e-06	0.983583078551425
1.85827634348265e-06	-0.261468825467814
1.96545684778877e-06	0.342600769371393
